gridID,TreeFrac,CropFrac,ShrubFrac,HerbFrac
1,.0052,.8007,.1479,.0000
2,.0013,.6475,.3036,.0000
3,.0058,.7354,.2034,.0000
4,.0173,.6887,.1803,.0000
5,.0151,.6375,.2640,.0000
6,.0004,.7396,.2086,.0000
7,.0099,.6491,.3012,.0000
8,.0360,.6101,.3045,.0000
9,.0152,.5567,.3716,.0000
10,.0219,.5981,.3419,.0000
11,.0132,.5807,.3465,.0000
12,.0148,.5172,.4008,.0035
13,.0556,.4845,.3060,.0808
14,.0795,.4566,.3389,.0570
15,.1540,.2727,.3812,.1401
16,.1376,.3458,.3963,.0488
17,.0714,.4103,.3667,.0687
18,.0442,.3759,.1970,.2960
19,.0431,.3777,.1726,.3419
20,.0400,.2837,.2937,.3254
21,.0941,.3827,.2298,.2475
22,.0505,.3096,.3562,.2370
23,.0720,.2469,.6052,.0154
24,.0061,.3762,.5735,.0000
25,.0075,.9300,.0362,.0000
26,.0206,.8507,.0916,.0000
27,.0196,.8021,.1413,.0000
28,.0408,.5019,.3942,.0000
29,.0329,.4506,.4381,.0000
30,.0209,.6721,.2236,.0000
31,.0180,.5977,.2961,.0000
32,.0156,.4731,.4066,.0000
33,.0294,.1821,.7005,.0000
34,.0228,.4815,.4112,.0000
35,.0125,.4683,.4087,.0143
36,.0289,.6445,.2523,.0000
37,.0120,.8543,.0625,.0000
38,.0104,.9462,.0074,.0000
39,.0157,.9768,.0000,.0000
40,.0091,.9748,.0009,.0000
41,.0075,.9635,.0071,.0000
42,.0074,.9305,.0178,.0000
43,.0149,.9231,.0249,.0000
44,.0064,.9477,.0227,.0000
45,.0061,.9202,.0562,.0000
46,.0018,.8895,.0907,.0000
47,.0114,.8840,.0922,.0000
48,.0123,.8452,.1354,.0000
49,.0308,.8761,.0752,.0000
50,.0221,.8800,.0906,.0000
51,.0129,.9420,.0425,.0000
52,.0227,.9116,.0619,.0000
53,.0113,.9620,.0259,.0000
54,.0145,.9314,.0477,.0000
55,.0088,.9745,.0166,.0000
56,.0103,.9735,.0107,.0000
57,.0138,.9604,.0252,.0000
58,.0033,.9217,.0667,.0000
59,.0051,.8677,.0057,.0015
60,.0045,.8940,.0016,.0015
61,.0034,.9603,.0087,.0058
62,.0039,.9701,.0115,.0041
63,.0018,.9382,.0465,.0000
64,.0000,.9432,.0519,.0000
65,.0016,.8820,.1031,.0000
66,.0016,.9107,.0729,.0000
67,.0035,.8656,.1226,.0000
68,.0071,.9051,.0834,.0000
69,.0132,.9473,.0364,.0000
70,.0041,.9864,.0091,.0000
71,.0069,.9574,.0341,.0000
72,.0068,.9272,.0571,.0000
73,.0041,.8905,.0981,.0000
74,.0045,.9135,.0619,.0000
75,.0022,.9097,.0672,.0000
76,.0041,.8850,.0946,.0000
77,.0012,.8879,.0935,.0000
78,.0016,.8814,.1015,.0000
79,.0015,.8911,.0915,.0000
80,.0034,.9291,.0451,.0000
81,.0109,.8068,.1325,.0000
82,.0095,.8818,.0878,.0000
83,.0011,.9075,.0757,.0000
84,.0032,.9061,.0687,.0000
85,.0112,.9471,.0116,.0000
86,.0039,.9677,.0000,.0000
87,.0060,.9509,.0203,.0000
88,.0043,.8276,.0922,.0000
89,.0015,.7809,.0986,.0000
90,.0031,.9409,.0229,.0000
