gridID,TreeFrac,CropFrac,ShrubFrac,HerbFrac
1,.2286,.3075,.3677,.0504
2,.1412,.4803,.3185,.0000
3,.0496,.5391,.3371,.0000
4,.0477,.5308,.3638,.0000
5,.0496,.6156,.2025,.0015
6,.0032,.4036,.0150,.2157
7,.0240,.4522,.1884,.0733
8,.0229,.3134,.5459,.0000
9,.0894,.3286,.3814,.0837
10,.1957,.3059,.3277,.0740
11,.1385,.5744,.1434,.0539
12,.0181,.8951,.0143,.0169
13,.2775,.2256,.3213,.1235
14,.4120,.1670,.3175,.0271
15,.0055,.2769,.0626,.0330
16,.0000,.0008,.0002,.0002
17,.0000,.0000,.0000,.0000
18,.0000,.0000,.0000,.0000
19,.0000,.0006,.0007,.0040
20,.0895,.0453,.0703,.1435
21,.2821,.3691,.1939,.0867
22,.0836,.0872,.2101,.1083
23,.0004,.0003,.0065,.0372
24,.0000,.0000,.0000,.0013
25,.0000,.0000,.0000,.0003
26,.0000,.0000,.0000,.0000
27,.0000,.0000,.0000,.0000
28,.0000,.0000,.0000,.0000
29,.0000,.0000,.0000,.0000
30,.0000,.0000,.0000,.0000
31,.0000,.0000,.0000,.0000
32,.0000,.0000,.0000,.0000
33,.0000,.0000,.0000,.0000
34,.0000,.0000,.0000,.0000
35,.0000,.0000,.0000,.0000
36,.0000,.0000,.0000,.0000
37,.0000,.0000,.0000,.0000
38,.0000,.0000,.0000,.0000
39,.0000,.0000,.0000,.0000
40,.0000,.0000,.0000,.0000
41,.0000,.0000,.0000,.0000
42,.0000,.0000,.0000,.0000
43,.0000,.0000,.0000,.0000
44,.0000,.0000,.0000,.0000
45,.0453,.0000,.0074,.1032
46,.0000,.0000,.0000,.0751
47,.0000,.0000,.0150,.0374
48,.0000,.0000,.0000,.0000
49,.0000,.0000,.0000,.0000
50,.0000,.0000,.0000,.0000
51,.0000,.0000,.0000,.0000
52,.0000,.0026,.0255,.0158
53,.1916,.0240,.3415,.1603
54,.2106,.0030,.1126,.3156
55,.0000,.0000,.0000,.0000
56,.0000,.0000,.0000,.0000
57,.0000,.0000,.0000,.0000
58,.0000,.0000,.0000,.0000
59,.0000,.0000,.0000,.0000
60,.0000,.0000,.0000,.0000
61,.0000,.0000,.0000,.0000
62,.0000,.0000,.0000,.0000
63,.0000,.0000,.0000,.0000
64,.0000,.0000,.0000,.0000
65,.0000,.0000,.0000,.0000
66,.0000,.0000,.0000,.0000
67,.0000,.0000,.0000,.0000
68,.0000,.0000,.0000,.0000
69,.0000,.0000,.0000,.0000
70,.0000,.0000,.0000,.0000
71,.0000,.0000,.0000,.0000
72,.0000,.0000,.0000,.0000
73,.0000,.0000,.0000,.0000
74,.0000,.0000,.0000,.0000
75,.0000,.0000,.0000,.0000
76,.0000,.0000,.0000,.0000
77,.0000,.0000,.0000,.0000
78,.0000,.0000,.0000,.0000
79,.0000,.0000,.0000,.0000
80,.0000,.0000,.0000,.0000
81,.0000,.0000,.0000,.0000
82,.0000,.0000,.0000,.0000
83,.0000,.0000,.0000,.0000
84,.0000,.0000,.0000,.0000
85,.0000,.0000,.0000,.0000
86,.0000,.0000,.0000,.0000
87,.0000,.0000,.0000,.0000
88,.0000,.0000,.0000,.0000
89,.0000,.0000,.0000,.0000
90,.0000,.0000,.0000,.0000
91,.0000,.0000,.0000,.0000
92,.0000,.0000,.0000,.0000
93,.0000,.0000,.0000,.0000
94,.0000,.0000,.0000,.0000
95,.0000,.0000,.0000,.0000
96,.0000,.0000,.0000,.0000
97,.0000,.0000,.0000,.0000
98,.0000,.0000,.0000,.0000
99,.0000,.0000,.0000,.0000
100,.0000,.0000,.0000,.0000
101,.0000,.0000,.0000,.0000
102,.0000,.0000,.0000,.0000
103,.0000,.0000,.0000,.0000
104,.0000,.0000,.0000,.0000
105,.0000,.0000,.0000,.0000
106,.0000,.0000,.0000,.0000
107,.0000,.0000,.0000,.0000
108,.0000,.0000,.0000,.0000
109,.0000,.0000,.0000,.0000
110,.0000,.0000,.0000,.0000
111,.0000,.0000,.0000,.0000
112,.0000,.0000,.0000,.0000
113,.0000,.0000,.0000,.0000
114,.0000,.0000,.0000,.0000
115,.0000,.0000,.0000,.0000
116,.0000,.0000,.0000,.0000
117,.0000,.0000,.0000,.0000
118,.0000,.0000,.0000,.0000
119,.0000,.0000,.0000,.0000
120,.0000,.0000,.0000,.0000
121,.0000,.0000,.0000,.0000
122,.0000,.0000,.0000,.0000
123,.0000,.0000,.0000,.0000
124,.0000,.0000,.0000,.0000
125,.0000,.0000,.0000,.0000
126,.0000,.0000,.0000,.0000
127,.0000,.0000,.0000,.0000
128,.0000,.0000,.0000,.0000
129,.0000,.0000,.0000,.0000
130,.0000,.0000,.0000,.0000
131,.0000,.0000,.0000,.0000
132,.0000,.0000,.0000,.0000
133,.0000,.0000,.0000,.0000
134,.0000,.0000,.0000,.0000
135,.0000,.0000,.0000,.0000
136,.0000,.0000,.0000,.0000
137,.0000,.0000,.0000,.0000
138,.0000,.0000,.0000,.0000
139,.0000,.0000,.0000,.0000
140,.0000,.0000,.0000,.0000
141,.0000,.0000,.0000,.0000
142,.0000,.0000,.0000,.0000
143,.0000,.0000,.0000,.0000
144,.0000,.0000,.0000,.0000
145,.0000,.0000,.0000,.0000
146,.0000,.0000,.0000,.0000
147,.0000,.0000,.0000,.0000
148,.0000,.0000,.0000,.0000
149,.5527,.0513,.3625,.0000
150,.2105,.2284,.5177,.0000
151,.0526,.4763,.3986,.0000
152,.1613,.2425,.5558,.0000
153,.0853,.5776,.2736,.0000
154,.0250,.5325,.2278,.0591
155,.0264,.5966,.1690,.0840
156,.0653,.3345,.5161,.0000
157,.4276,.0731,.4579,.0020
158,.2694,.2851,.3483,.0282
159,.1267,.3940,.2609,.1463
160,.0484,.8901,.0251,.0000
161,.2079,.4202,.2402,.0965
162,.7059,.0108,.2218,.0168
163,.4416,.2345,.2479,.0000
164,.0426,.3824,.0805,.1026
165,.0068,.1240,.1228,.0753
166,.0068,.0249,.0019,.2141
167,.0000,.0000,.0000,.0000
168,.0000,.0000,.0000,.0000
169,.1237,.1568,.2072,.0814
170,.0843,.6781,.1639,.0000
171,.0722,.4913,.0789,.1062
172,.1018,.1454,.2281,.1800
173,.1358,.0573,.1742,.1976
174,.0047,.0394,.0000,.1660
175,.0000,.0000,.0086,.0072
176,.0000,.0000,.0000,.0000
177,.0000,.0000,.0000,.0000
178,.0000,.0000,.0000,.0000
179,.0000,.0000,.0000,.0000
180,.0000,.0000,.0000,.0000
181,.0000,.0000,.0000,.0000
182,.0000,.0000,.0000,.0000
183,.0000,.0000,.0000,.0000
184,.0000,.0000,.0000,.0000
185,.0000,.0000,.0000,.0000
186,.0000,.0000,.0000,.0000
187,.0000,.0000,.0000,.0000
188,.0000,.0000,.0000,.0000
189,.0000,.0000,.0000,.0000
190,.0000,.0000,.0000,.0000
191,.0000,.0000,.0000,.0000
192,.0000,.0000,.0000,.0000
193,.1322,.0322,.1114,.2025
194,.1226,.0039,.0388,.1337
195,.1944,.0185,.0629,.1826
196,.0021,.0045,.0000,.0728
197,.0000,.0000,.0000,.0000
198,.0000,.0000,.0000,.0000
199,.0000,.0000,.0000,.0000
200,.1141,.0222,.1730,.3597
201,.3604,.0181,.5338,.0387
202,.0387,.0000,.0125,.2092
203,.0000,.0000,.0000,.0000
204,.0000,.0042,.0000,.0303
205,.0000,.0446,.0306,.3799
206,.0000,.0000,.0137,.0000
207,.0000,.0000,.0000,.0000
208,.0000,.0000,.0000,.0000
209,.0000,.0000,.0000,.0000
210,.0000,.0000,.0000,.0000
211,.0000,.0000,.0000,.0000
212,.0000,.0000,.0000,.0000
213,.0000,.0000,.0000,.0000
214,.0000,.0000,.0000,.0000
215,.0000,.0000,.0000,.0000
216,.0000,.0000,.0000,.0000
217,.0000,.0000,.0000,.0000
218,.0000,.0000,.0000,.0000
219,.0000,.0000,.0000,.0000
220,.0000,.0000,.0000,.0000
221,.0000,.0000,.0000,.0000
222,.0000,.0000,.0000,.0000
223,.0000,.0000,.0000,.0000
224,.0000,.0000,.0000,.0000
225,.0000,.0000,.0000,.0000
226,.0000,.0000,.0000,.0000
227,.0000,.0000,.0000,.0000
228,.0000,.0000,.0000,.0000
229,.0000,.0000,.0000,.0000
230,.0000,.0000,.0000,.0000
231,.0000,.0000,.0000,.0000
232,.0000,.0000,.0000,.0000
233,.0000,.0000,.0000,.0000
234,.0000,.0000,.0000,.0000
235,.0000,.0000,.0000,.0000
236,.0000,.0000,.0000,.0000
237,.0000,.0000,.0000,.0000
238,.0000,.0000,.0000,.0000
239,.0000,.0000,.0000,.0000
240,.0000,.0000,.0000,.0000
241,.0000,.0000,.0000,.0000
242,.0000,.0000,.0000,.0000
243,.0000,.0000,.0000,.0000
244,.0000,.0000,.0000,.0000
245,.0000,.0000,.0000,.0000
246,.0000,.0000,.0000,.0000
247,.0000,.0000,.0000,.0000
248,.0000,.0000,.0000,.0000
249,.0000,.0000,.0000,.0000
250,.0000,.0000,.0000,.0000
251,.0000,.0000,.0000,.0000
252,.0000,.0000,.0000,.0000
253,.0000,.0000,.0000,.0000
254,.0000,.0000,.0000,.0000
255,.0000,.0000,.0000,.0000
256,.0000,.0000,.0000,.0000
257,.0000,.0000,.0000,.0000
258,.0000,.0000,.0000,.0000
259,.0000,.0000,.0000,.0000
260,.0000,.0000,.0000,.0000
261,.0000,.0000,.0000,.0000
262,.0000,.0000,.0000,.0000
263,.0000,.0000,.0000,.0000
264,.0000,.0000,.0000,.0000
265,.0000,.0000,.0000,.0000
266,.0000,.0000,.0000,.0000
267,.0000,.0000,.0000,.0000
268,.0000,.0000,.0000,.0000
269,.0000,.0000,.0000,.0000
270,.0000,.0000,.0000,.0000
271,.0000,.0000,.0000,.0000
272,.0000,.0000,.0000,.0000
273,.0000,.0000,.0000,.0000
274,.0000,.0000,.0000,.0000
275,.0000,.0000,.0000,.0000
276,.0000,.0000,.0000,.0000
277,.0000,.0000,.0000,.0000
278,.0000,.0000,.0000,.0000
279,.0000,.0000,.0000,.0000
280,.0000,.0000,.0000,.0000
281,.0000,.0000,.0000,.0000
282,.0000,.0000,.0000,.0000
283,.0000,.0000,.0000,.0000
284,.0000,.0000,.0000,.0000
285,.0000,.0000,.0000,.0000
286,.0000,.0000,.0000,.0000
287,.0000,.0000,.0000,.0000
288,.0000,.0000,.0000,.0000
289,.0000,.0000,.0000,.0000
