gridID,TreeFrac,CropFrac,ShrubFrac,HerbFrac
1,.0195,.2066,.5070,.1532
2,.0215,.3673,.4361,.0690
3,.0389,.4930,.3214,.0315
4,.1191,.2169,.4735,.0960
5,.3549,.0792,.5019,.0000
6,.1502,.2638,.4879,.0017
7,.0407,.3217,.5184,.0384
8,.0960,.1853,.6084,.0254
9,.4193,.0192,.5283,.0000
10,.4370,.0192,.4909,.0000
11,.2713,.0979,.5741,.0000
12,.1900,.0765,.6527,.0000
13,.2414,.0829,.5559,.0139
14,.1096,.1527,.6004,.0146
15,.3729,.0993,.4675,.0000
16,.4324,.0469,.4864,.0000
17,.4902,.0729,.3932,.0000
18,.3522,.1257,.4593,.0000
19,.3771,.0465,.4780,.0000
20,.4216,.0581,.4215,.0278
21,.4511,.0265,.4580,.0000
22,.5002,.0394,.3306,.0312
23,.3303,.1070,.4019,.0510
24,.3644,.1452,.3960,.0129
25,.3161,.1940,.4212,.0000
26,.4163,.1401,.4076,.0000
27,.6813,.0042,.3072,.0000
28,.5448,.1553,.2396,.0000
29,.5339,.1981,.2275,.0000
30,.6482,.0434,.2875,.0000
31,.5631,.0000,.4135,.0000
32,.6412,.0213,.2948,.0000
33,.4455,.1350,.3639,.0000
34,.7158,.0085,.2487,.0000
35,.7373,.0033,.2403,.0000
36,.5377,.0946,.2141,.0415
37,.7216,.0363,.1931,.0172
38,.7988,.0000,.1852,.0000
39,.7048,.0033,.2033,.0245
40,.6119,.0724,.1173,.1050
41,.6020,.0326,.2950,.0198
42,.6871,.0941,.1668,.0156
43,.7062,.0247,.1704,.0538
44,.7144,.0288,.2146,.0000
45,.6245,.0217,.2667,.0490
46,.6032,.0379,.2795,.0113
47,.1355,.1528,.5946,.0255
48,.4515,.1381,.3467,.0000
49,.7301,.0260,.2123,.0000
50,.4950,.1265,.2661,.0357
51,.6353,.1244,.1859,.0051
52,.7635,.0035,.2022,.0000
53,.6842,.0158,.2396,.0159
54,.5530,.1395,.2574,.0013
55,.4972,.1556,.2760,.0116
56,.4837,.0208,.4454,.0000
57,.5947,.0000,.3654,.0000
58,.8004,.0000,.1806,.0000
59,.7791,.0002,.1807,.0000
60,.4750,.0491,.4062,.0000
61,.5592,.0030,.4030,.0000
62,.7223,.0060,.2426,.0000
63,.7681,.0000,.2096,.0000
64,.7882,.0000,.1871,.0000
65,.6395,.0882,.2226,.0000
66,.5347,.1326,.2776,.0022
67,.3413,.2566,.2995,.0109
68,.8200,.0033,.1638,.0000
69,.7381,.0049,.2402,.0000
70,.7202,.0221,.2158,.0000
71,.4779,.1714,.2712,.0019
72,.3090,.2673,.3565,.0000
73,.2590,.2443,.3923,.0120
74,.3066,.2186,.3939,.0000
75,.5135,.0730,.3531,.0000
76,.3912,.1141,.4224,.0000
77,.2806,.1534,.4568,.0284
78,.2246,.1326,.5202,.0273
79,.0423,.5646,.2198,.0469
80,.0029,.6821,.1360,.0349
81,.0102,.8200,.0656,.0012
82,.0063,.4850,.0687,.1607
83,.0000,.2431,.4653,.0473
84,.0641,.1304,.6925,.0000
85,.4051,.1864,.3575,.0000
86,.4383,.1617,.2747,.0829
87,.3174,.0928,.4931,.0344
88,.3994,.1126,.4133,.0050
89,.3887,.1737,.3746,.0149
90,.4974,.0258,.3836,.0249
91,.2520,.0986,.4607,.0996
92,.3296,.1530,.4295,.0000
93,.3219,.0620,.5303,.0000
94,.6228,.0000,.3322,.0000
95,.1313,.2560,.5187,.0000
96,.0923,.4146,.4028,.0000
97,.1096,.3479,.3979,.0343
98,.0622,.4215,.3259,.0847
99,.3341,.0776,.5282,.0000
100,.2416,.1735,.4911,.0000
101,.1246,.1310,.6284,.0218
102,.1487,.0775,.6986,.0003
103,.2151,.0543,.6722,.0000
104,.2997,.0154,.6397,.0000
105,.2902,.0262,.6325,.0000
106,.2218,.0993,.6046,.0000
107,.2159,.1401,.5222,.0000
108,.1330,.2222,.4027,.0137
109,.1890,.1952,.5216,.0000
110,.3679,.0569,.5243,.0000
111,.4482,.0719,.4331,.0000
112,.4248,.0404,.4808,.0000
113,.4949,.0056,.4359,.0000
114,.3111,.0103,.5483,.0368
115,.3225,.0094,.5901,.0000
116,.4403,.0487,.4265,.0129
117,.3408,.1129,.4534,.0093
118,.4373,.0467,.4161,.0351
119,.2710,.1035,.4823,.0548
120,.3840,.2059,.3603,.0000
121,.4497,.2005,.2991,.0000
122,.2540,.3095,.3515,.0000
123,.4541,.1309,.3288,.0000
124,.6778,.0021,.3097,.0000
125,.8115,.0000,.1847,.0000
126,.6832,.0111,.2947,.0000
127,.4528,.1056,.3533,.0000
128,.4198,.0695,.4413,.0016
129,.6414,.0025,.3348,.0000
130,.5464,.0992,.2249,.0707
131,.4178,.1641,.1378,.1184
132,.7217,.0121,.2069,.0002
133,.7289,.0064,.1075,.1006
134,.7233,.0256,.2074,.0000
135,.6977,.0837,.1968,.0000
136,.6942,.0116,.2850,.0000
137,.6448,.0524,.2504,.0000
138,.7824,.0268,.1683,.0000
139,.6680,.0261,.2533,.0000
140,.6028,.0481,.2886,.0000
141,.1898,.1935,.5422,.0000
142,.4934,.0922,.3642,.0214
143,.7633,.0119,.2098,.0000
144,.5083,.1064,.3118,.0000
145,.2682,.2299,.4054,.0000
146,.7876,.0329,.1427,.0000
147,.5734,.0298,.3569,.0003
148,.5131,.1135,.3262,.0000
149,.5819,.1953,.1678,.0000
150,.6305,.0505,.2690,.0000
151,.6124,.0000,.3409,.0000
152,.6760,.0000,.2711,.0000
153,.6156,.0021,.3256,.0000
154,.5396,.0293,.3801,.0000
155,.5305,.0929,.3201,.0000
156,.5315,.0759,.3396,.0000
157,.6505,.0099,.3042,.0000
158,.7419,.0000,.2344,.0000
159,.7438,.0015,.2265,.0000
160,.6498,.1497,.1398,.0137
161,.4052,.1446,.3633,.0000
162,.7163,.0130,.2377,.0000
163,.7268,.0089,.2458,.0000
164,.6835,.0889,.1965,.0000
165,.6499,.0613,.2232,.0117
166,.5906,.1776,.1879,.0000
167,.5682,.1823,.1936,.0000
168,.3367,.1303,.4337,.0054
169,.2181,.1526,.5186,.0340
170,.4361,.0795,.4095,.0000
171,.3545,.1354,.4445,.0000
172,.1638,.1248,.6179,.0000
173,.0670,.1836,.5378,.0529
174,.0026,.7688,.0648,.0272
175,.0005,.7622,.1088,.0077
176,.0140,.7226,.1222,.0029
177,.0064,.3758,.2714,.1176
178,.0189,.3079,.5518,.0000
179,.2344,.1260,.5570,.0000
180,.4389,.1349,.3011,.0689
181,.5655,.0000,.3999,.0000
182,.6058,.0005,.3224,.0265
183,.5604,.0006,.3559,.0496
184,.5797,.0034,.3679,.0000
185,.5126,.0388,.3258,.0444
186,.1302,.2812,.4597,.0000
187,.5258,.0476,.3298,.0000
188,.5277,.0000,.4048,.0000
189,.0435,.3340,.4059,.1246
190,.0552,.3389,.5437,.0000
191,.1087,.3922,.4313,.0000
192,.1169,.4111,.3659,.0318
193,.1464,.3179,.3561,.0910
194,.1608,.1882,.5648,.0000
195,.1045,.2123,.5671,.0003
196,.0387,.3894,.3995,.0843
197,.0944,.2515,.4187,.1478
198,.3230,.0731,.5589,.0000
199,.3876,.0355,.4959,.0000
200,.2581,.0823,.5920,.0000
201,.2537,.0640,.5849,.0000
202,.2133,.0971,.4758,.0000
203,.3457,.0818,.4145,.0000
204,.3807,.0888,.4426,.0000
205,.3695,.0530,.5054,.0000
206,.4698,.0258,.4642,.0000
207,.3912,.0026,.5447,.0000
208,.3998,.0000,.5224,.0000
209,.2924,.0042,.5985,.0000
210,.4277,.0172,.4368,.0004
211,.3612,.1016,.2300,.1325
212,.3463,.0532,.4322,.0293
213,.2277,.0852,.5286,.0318
214,.5866,.0064,.3686,.0064
215,.4629,.0300,.3854,.0505
216,.4578,.0675,.3902,.0000
217,.5055,.1659,.2263,.0294
218,.7868,.0000,.2068,.0000
219,.7785,.0000,.2197,.0000
220,.7438,.0000,.2489,.0000
221,.3262,.2847,.3014,.0000
222,.2613,.2485,.3184,.0363
223,.5342,.1012,.2444,.0464
224,.6571,.0047,.2605,.0308
225,.4226,.2560,.2565,.0213
226,.7036,.0102,.2174,.0368
227,.6431,.0125,.2501,.0433
228,.7344,.0105,.2195,.0000
229,.7042,.0254,.2340,.0000
230,.7666,.0076,.2084,.0000
231,.6400,.1547,.1572,.0000
232,.7611,.0433,.1536,.0000
233,.3374,.1395,.4409,.0000
234,.3362,.1605,.4090,.0179
235,.6843,.0683,.2055,.0000
236,.3909,.1965,.3425,.0000
237,.5992,.0889,.2890,.0000
238,.6801,.0467,.2347,.0000
239,.3721,.1682,.3506,.0338
240,.4724,.1893,.2453,.0335
241,.6813,.0481,.2187,.0000
242,.6959,.0161,.2390,.0000
243,.4979,.1582,.2830,.0000
244,.3406,.2594,.3414,.0000
245,.1952,.2230,.5128,.0000
246,.4956,.0243,.4319,.0000
247,.6093,.0154,.3336,.0000
248,.5261,.0231,.4093,.0000
249,.5575,.0248,.3909,.0000
250,.4349,.0297,.4720,.0000
251,.3300,.0111,.5922,.0000
252,.5404,.0112,.3976,.0000
253,.7487,.0000,.2292,.0000
254,.6709,.0057,.2963,.0000
255,.6379,.0728,.2391,.0000
256,.4509,.0398,.4422,.0000
257,.6178,.0032,.3386,.0018
258,.7322,.0041,.2305,.0053
259,.3201,.1393,.4607,.0001
260,.3144,.1783,.4289,.0000
261,.5993,.0622,.2900,.0000
262,.4926,.0460,.3902,.0000
263,.4099,.1447,.3695,.0000
264,.3879,.1135,.4194,.0000
265,.1955,.2130,.5079,.0000
266,.2108,.1318,.5276,.0096
267,.0116,.1799,.4905,.1415
268,.0012,.5083,.1937,.1319
269,.0033,.5023,.2776,.0687
270,.0129,.7176,.1618,.0096
271,.0202,.5454,.2232,.0556
272,.0311,.7138,.1163,.0397
273,.1137,.3865,.3969,.0000
274,.1720,.2700,.4801,.0000
275,.3435,.0519,.5116,.0300
276,.5190,.0000,.4334,.0009
277,.7468,.0000,.2184,.0000
278,.6435,.0000,.3094,.0000
279,.5580,.0002,.3700,.0000
280,.4654,.0496,.4053,.0000
281,.2767,.0451,.5207,.0000
282,.4978,.0125,.4099,.0000
283,.0158,.3872,.4762,.0400
284,.0349,.3512,.5369,.0006
285,.0722,.3880,.4231,.0440
286,.1065,.3466,.4924,.0052
287,.1401,.3436,.3934,.0364
288,.1369,.3018,.4603,.0000
289,.1753,.2551,.4914,.0000
290,.1219,.2323,.5110,.0447
291,.1821,.2084,.4533,.0902
292,.3490,.0649,.5280,.0000
293,.2439,.0609,.6279,.0000
294,.1779,.0199,.7075,.0000
295,.1516,.1190,.6174,.0000
296,.2834,.0477,.5858,.0000
297,.2827,.0683,.5565,.0000
298,.3784,.0605,.4938,.0018
299,.3103,.0332,.5783,.0021
300,.4304,.0228,.4875,.0000
301,.4695,.0187,.4689,.0000
302,.4255,.0079,.5086,.0000
303,.3874,.0079,.5066,.0000
304,.4148,.1032,.4158,.0000
305,.4170,.1469,.2679,.0270
306,.0371,.0729,.4542,.1129
307,.1152,.1630,.4488,.0475
308,.3871,.0324,.4437,.0243
309,.2909,.0049,.6051,.0000
310,.5204,.0195,.2841,.1091
311,.3118,.1324,.4139,.0337
312,.7212,.0007,.2549,.0000
313,.6843,.0236,.2840,.0000
314,.6778,.0000,.3141,.0000
315,.4801,.1658,.2999,.0000
316,.0929,.3607,.1527,.1190
317,.2071,.1169,.2844,.1866
318,.7099,.0024,.2313,.0311
319,.5294,.0070,.4372,.0000
320,.5248,.0506,.3785,.0000
321,.6490,.0375,.2366,.0266
322,.7919,.0176,.1479,.0000
323,.7028,.0005,.2773,.0000
324,.7699,.0118,.2014,.0000
325,.7945,.0160,.1588,.0000
326,.8665,.0036,.1071,.0000
327,.5890,.0662,.2864,.0000
328,.2157,.1918,.5223,.0000
329,.7645,.0306,.1815,.0000
330,.6268,.0454,.2784,.0000
331,.2159,.2020,.5146,.0000
332,.5816,.1501,.2273,.0000
333,.5353,.1103,.2667,.0139
334,.5105,.1076,.2963,.0180
335,.6878,.0116,.2400,.0000
336,.6629,.0140,.2754,.0000
337,.5788,.0316,.3461,.0000
338,.3570,.3263,.2662,.0000
339,.4268,.3217,.2111,.0000
340,.4617,.1311,.3594,.0000
341,.6236,.0000,.3504,.0000
342,.6875,.0165,.2665,.0000
343,.6541,.0353,.2707,.0000
344,.5894,.0097,.3582,.0000
345,.5158,.0972,.3114,.0000
346,.4901,.0716,.2439,.1028
347,.5233,.0000,.4473,.0000
348,.5143,.0000,.4585,.0000
349,.6324,.0018,.3424,.0000
350,.5624,.0383,.3583,.0000
351,.7010,.0048,.2591,.0033
352,.6771,.0015,.2927,.0092
353,.5722,.0512,.3012,.0109
354,.3309,.1422,.4257,.0113
355,.2745,.1924,.4334,.0099
356,.2873,.1504,.4362,.0411
357,.4414,.0765,.4239,.0009
358,.3794,.1774,.3743,.0020
359,.3395,.1355,.4470,.0000
360,.2192,.1620,.4538,.0596
361,.0038,.2040,.4628,.1031
362,.0049,.3020,.2608,.2403
363,.0078,.6250,.0951,.1302
364,.0021,.5259,.2702,.0507
365,.0000,.5492,.2464,.0464
366,.0033,.5566,.2941,.0000
367,.0034,.7353,.1391,.0000
368,.1053,.4781,.3122,.0000
369,.3733,.0531,.4353,.0649
370,.3224,.1315,.4510,.0153
371,.5463,.0123,.3385,.0560
372,.5994,.0000,.3788,.0000
373,.6322,.0051,.2868,.0283
374,.6935,.0002,.2317,.0281
375,.4092,.0146,.4571,.0000
376,.2980,.1881,.4160,.0060
377,.0434,.3409,.3013,.2401
378,.0468,.3313,.5121,.0272
379,.0936,.4185,.4135,.0000
380,.1370,.3521,.4416,.0112
381,.0390,.3690,.5080,.0000
382,.1484,.3655,.3807,.0265
383,.1556,.3720,.3138,.0505
384,.1975,.2045,.4856,.0171
385,.0881,.1752,.6556,.0000
386,.3735,.0978,.4716,.0000
387,.2103,.1338,.5851,.0000
388,.2121,.0410,.6601,.0000
389,.1881,.0670,.6530,.0000
390,.1026,.0582,.7186,.0102
391,.1671,.0405,.6814,.0000
392,.4192,.0184,.4937,.0079
393,.2901,.0387,.5863,.0096
394,.4266,.0691,.4412,.0000
395,.2566,.0490,.6213,.0000
396,.5058,.0000,.3949,.0651
