gridID,TreeFrac,CropFrac,ShrubFrac,HerbFrac
1,.2493,.1729,.5015,.0117
2,.4204,.2225,.2581,.0438
3,.5650,.0444,.3264,.0000
4,.5257,.1285,.2930,.0000
5,.3841,.1365,.4123,.0000
6,.6189,.0564,.2637,.0000
7,.4114,.0920,.4412,.0000
8,.2976,.1908,.4623,.0000
9,.4444,.0550,.4508,.0000
10,.4559,.0906,.4091,.0000
11,.3434,.0994,.5060,.0000
12,.2339,.1256,.5455,.0398
13,.5460,.0384,.3286,.0385
14,.1368,.2679,.5393,.0000
15,.1694,.2587,.4615,.0157
16,.4650,.1847,.2759,.0000
17,.1170,.3577,.4451,.0000
18,.1856,.3846,.3567,.0000
19,.0144,.5952,.2825,.0000
20,.2751,.1849,.4725,.0000
21,.3918,.1890,.3232,.0000
22,.0158,.5030,.3490,.0000
23,.1816,.3459,.3665,.0137
24,.1079,.4173,.3938,.0000
25,.2477,.1968,.4978,.0000
26,.1174,.4197,.4024,.0000
27,.1693,.2152,.5609,.0000
28,.5447,.1183,.2901,.0000
29,.4313,.1116,.4081,.0000
30,.0803,.3105,.5286,.0000
31,.0583,.2623,.5624,.0266
32,.3990,.1114,.4441,.0035
33,.2318,.2725,.4573,.0000
34,.4158,.0890,.4549,.0000
35,.1789,.3065,.4669,.0039
36,.1279,.4243,.3887,.0000
37,.3818,.0850,.4639,.0039
38,.5761,.1204,.2153,.0294
39,.1594,.3227,.3883,.0343
40,.0200,.3218,.5596,.0001
41,.0732,.1993,.6299,.0000
42,.0963,.1207,.6873,.0145
43,.0344,.4162,.3734,.0699
44,.2048,.1900,.5207,.0063
45,.4169,.1338,.3442,.0343
46,.0417,.3922,.0433,.3454
47,.0069,.7376,.1644,.0194
48,.3243,.4535,.1797,.0029
49,.7437,.0328,.1569,.0000
50,.4025,.1911,.2611,.0734
51,.0743,.3158,.4640,.0627
52,.5207,.0839,.3007,.0092
53,.1806,.1658,.5740,.0000
54,.0879,.1793,.6648,.0000
55,.1067,.2025,.6296,.0000
56,.1026,.1733,.6501,.0000
57,.1293,.4300,.3514,.0195
58,.0529,.4566,.2757,.1155
59,.0089,.4423,.0103,.2386
60,.0200,.5804,.0785,.2086
61,.0084,.6099,.1426,.1045
62,.0502,.4177,.3719,.0402
63,.1142,.3892,.3658,.0058
64,.0887,.4307,.2795,.1070
65,.0114,.7934,.1418,.0161
66,.0100,.5445,.0171,.1278
67,.0000,.0310,.0086,.0444
68,.0000,.0000,.0000,.0000
69,.0000,.0000,.0000,.0000
70,.0000,.0000,.0050,.0054
71,.0006,.0095,.0057,.4286
72,.0019,.4404,.1503,.2854
73,.0123,.2977,.0358,.5275
74,.0158,.2919,.0786,.4470
75,.0867,.4712,.0495,.2796
76,.0159,.0674,.0812,.3547
77,.0054,.2614,.0785,.2730
78,.0197,.0469,.2275,.3410
79,.0838,.0984,.4705,.1492
80,.1647,.0639,.4096,.1472
81,.0000,.0000,.0589,.1214
82,.0000,.0000,.0000,.1118
83,.0000,.0000,.0000,.0000
84,.0000,.0000,.0000,.0066
85,.0000,.0000,.0000,.0000
86,.0000,.0000,.0000,.0000
87,.0000,.0000,.0000,.0000
88,.0000,.0000,.0000,.0000
89,.0000,.0000,.0000,.0000
90,.0000,.0000,.0000,.0000
91,.0000,.0000,.0000,.0000
92,.0000,.0000,.0000,.0000
93,.0000,.0000,.0000,.0000
94,.0000,.0000,.0000,.0000
95,.0000,.0000,.0000,.0000
96,.0000,.0000,.0000,.0000
97,.0000,.0000,.0000,.0000
98,.0000,.0000,.0000,.0097
99,.0000,.0000,.0224,.0830
100,.0000,.0000,.0000,.0000
101,.0000,.0000,.0089,.0000
102,.0000,.0000,.0010,.0470
103,.0000,.0000,.0000,.0000
104,.0000,.0000,.0000,.0000
105,.0000,.0000,.0000,.0000
106,.0000,.0000,.0000,.0000
107,.0000,.0000,.0000,.0000
108,.0000,.0000,.0000,.0000
109,.0000,.0000,.0000,.0000
110,.0000,.1222,.0423,.0073
111,.0000,.1990,.0343,.2081
112,.0000,.1168,.0537,.0590
113,.0000,.0000,.0000,.0000
114,.0000,.0000,.0000,.0000
115,.0000,.0000,.0000,.0000
116,.0000,.0000,.0000,.0000
117,.0000,.0000,.0000,.0000
118,.0000,.0000,.0000,.0000
119,.0000,.0000,.0000,.0000
120,.0000,.0000,.0000,.0000
121,.0000,.0000,.0000,.0000
122,.0000,.0000,.0000,.0000
123,.0000,.0000,.0000,.0000
124,.0000,.0000,.0000,.0000
125,.0000,.0000,.0000,.0000
126,.0000,.0000,.0000,.0000
127,.0000,.0000,.0000,.0000
128,.0000,.0000,.0000,.0000
129,.0000,.0000,.0000,.0000
130,.0000,.0000,.0000,.0000
131,.3715,.0680,.4518,.0453
132,.3788,.1500,.4242,.0000
133,.4017,.1152,.4242,.0000
